sentencia,tema,url
T-311/25,Estabilidad reforzada por debilidad manifiesta por salud; reintegro,https://www.corteconstitucional.gov.co/relatoria/2025/t-311-25.htm
SU-061/23,Unificación fuero de estabilidad reforzada por salud; garantías,
SU-348/22,Estabilidad ocupacional reforzada; recoge regla desde 2001,
SU-049/17,Unificación estabilidad ocupacional reforzada; indemnización 180 días art. 26 Ley 361/97 aun para contratistas,
SU-380/21,Estabilidad reforzada; presunción de despido discriminatorio,
SU-213/24,Estabilidad reforzada; alcance y contenido del derecho,
SU-428/23,Estabilidad reforzada por salud; tutela contra providencia judicial,
SU-269/23,Estabilidad reforzada por salud (reiteración SU-087/22),
T-381/23,Estabilidad reforzada por salud; amparo transitorio,https://www.corteconstitucional.gov.co/relatoria/2023/t-381-23.htm
T-076/24,Estabilidad reforzada por salud; reintegro e indemnización Ley 361/97 (empresa privada),https://www.corteconstitucional.gov.co/relatoria/2024/t-076-24.htm
T-326/24,Estabilidad reforzada; cáncer de mama; renovación de contrato,https://www.corteconstitucional.gov.co/relatoria/2024/t-326-24.htm
T-501/20,Estabilidad reforzada; guardia de seguridad con cáncer de piel,
T-148/12,Estabilidad reforzada por salud; reglas,
T-754/12,Estabilidad reforzada por salud; derecho a permanecer en el empleo,
T-988/12,Estabilidad reforzada por discapacidad,
T-434/20,Estabilidad reforzada; concepto de trabajadores en debilidad manifiesta,
T-265/21,Estabilidad reforzada por salud; procedencia,https://www.corteconstitucional.gov.co/relatoria/2021/t-265-21.htm
T-168/16,Descuentos salariales por libranza; límite del 50% y mínimo vital,https://www.corteconstitucional.gov.co/relatoria/2016/t-168-16.htm
T-426/14,Descuentos salariales y embargo; protección del mínimo vital,https://www.corteconstitucional.gov.co/relatoria/2014/T-426-14.htm
T-864/14,Límites a descuentos sobre salarios y mesadas,https://www.corteconstitucional.gov.co/relatoria/2014/T-864-14.htm
T-1234/00,No pago de salarios a Alfredo González Ibarra por Ferretería Industrial del Caribe Ltda.; orden de pago en 48h,https://www.corteconstitucional.gov.co/relatoria/2000/t-1234-00.htm
T-403/00,No pago de salarios; mínimo vital (empresa privada Calidad en Fibra de Vidrio Ltda.),https://www.corteconstitucional.gov.co/relatoria/2000/t-403-00.htm
T-1128/00,No pago de salarios; mínimo vital vs. salario mínimo,https://www.corteconstitucional.gov.co/relatoria/2000/t-1128-00.htm
T-358/05,No pago prolongado de salarios; presunción de afectación mínimo vital,
SU-995/99,Unificación; pago oportuno de salarios; la insolvencia del empleador no justifica desconocer derechos fundamentales,
T-308/99,Pago de salarios; procedencia excepcional de tutela,
T-660/04,No pago de salarios; presunción afectación mínimo vital,
T-882/06,Acoso laboral; procedencia de tutela frente a Ley 1010/06,https://www.corteconstitucional.gov.co/relatoria/2006/t-882-06.htm
T-415/23,Acoso sexual y laboral en empresa privada (Ogilvy),
T-083/10,Debido proceso disciplinario en relaciones con particulares,
T-944/00,Debido proceso disciplinario por entidad privada; parámetros mínimos,
T-657/09,Poder disciplinario del empleador privado; límites,
T-433/98,Debido proceso disciplinario; requisitos mínimos,
T-546/00,Despido; debido proceso y procedencia excepcional de tutela,
T-385/06,Despido con justa causa; descargos; trabajador con cáncer (privado),https://www.corteconstitucional.gov.co/relatoria/2006/T-385-06.htm
T-186/13,Estabilidad reforzada prepensionado; retén social,https://www.corteconstitucional.gov.co/relatoria/2013/t-186-13.htm
T-055/20,Estabilidad reforzada prepensionado; contrato de obra o labor,https://www.corteconstitucional.gov.co/relatoria/2020/T-055-20.htm
T-325/18,Estabilidad reforzada prepensionado; procedencia,https://www.corteconstitucional.gov.co/relatoria/2018/T-325-18.htm
T-374/24,Estabilidad reforzada prepensionado RAIS; edad de retiro forzoso,https://www.corteconstitucional.gov.co/relatoria/2024/t-374-24.htm
T-385/20,Estabilidad reforzada prepensionado sector privado,https://www.corteconstitucional.gov.co/relatoria/2020/t-385-20.htm
T-357/16,Estabilidad reforzada prepensionado; condición de sujeto de protección,
T-320/16,Estabilidad reforzada; garantías del trabajador protegido,
T-003/18,Estabilidad reforzada madre cabeza de familia (no supeditada a renovación),
T-683/16,Estabilidad reforzada madre cabeza de familia; principios aplicables,
T-266/24,Estabilidad reforzada madre cabeza de familia; contrato realidad y perspectiva de género,https://www.corteconstitucional.gov.co/relatoria/2024/t-266-24.htm
T-833/09,Estabilidad reforzada madre cabeza de familia; reintegro por reestructuración,https://www.corteconstitucional.gov.co/relatoria/2009/T-833-09.htm
SU-256/96,Despido de portador de VIH; discriminación,https://www.corteconstitucional.gov.co/relatoria/1996/SU256-96.htm
T-295/08,Despido de portador de VIH; presunción de discriminación,https://www.corteconstitucional.gov.co/relatoria/2008/T-295-08.htm
T-267/20,Discriminación laboral a portador de VIH/SIDA,https://www.corteconstitucional.gov.co/relatoria/2020/t-267-20.htm
T-469/04,No renovación de contrato a portador de VIH,https://www.corteconstitucional.gov.co/relatoria/2004/T-469-04.htm
T-898/10,Estabilidad reforzada de trabajador con VIH; discriminación,https://www.corteconstitucional.gov.co/relatoria/2010/T-898-10.htm
T-506/12,Discriminación laboral por orientación sexual,
T-236/23,Discriminación por identidad de género; mujer trans en el trabajo,https://www.corteconstitucional.gov.co/relatoria/2023/t-236-23.htm
T-143/18,Discriminación identidad de género; uniforme en el trabajo,https://www.corteconstitucional.gov.co/relatoria/2018/t-143-18.htm
T-363/16,Identidad de género y orientación sexual; criterios,
SU-236/22,Discriminación laboral; presunción y carga de la prueba,
T-114/19,Licencia de paternidad; pago,https://www.corteconstitucional.gov.co/relatoria/2019/T-114-19.htm
T-158/24,Licencia de paternidad; mora del empleador en aportes,https://www.corteconstitucional.gov.co/relatoria/2024/t-158-24.htm
T-190/16,Licencia de paternidad; requisitos de cotización,https://www.corteconstitucional.gov.co/relatoria/2016/t-190-16.htm
T-207/24,Licencia de maternidad; allanamiento a la mora,https://www.corteconstitucional.gov.co/relatoria/2024/t-207-24.htm
T-278/18,Licencia de maternidad/paternidad; requisitos,
T-489/18,Licencia de maternidad; naturaleza como sustituto de ingresos,
T-093/99,Licencia de maternidad; procedencia de tutela,
T-1050/10,Licencia de paternidad; pago proporcional por mora,
T-463/00,Cesantías Ley 50/1990; libertad de acogerse al régimen,https://www.corteconstitucional.gov.co/relatoria/2000/T-463-00.htm
T-597/95,Cesantías Ley 50/1990; régimen aplicable y no coacción,https://www.corteconstitucional.gov.co/relatoria/1995/T-597-95.htm
T-102/95,Cesantías Ley 50/1990; discriminación en aumentos salariales,https://www.corteconstitucional.gov.co/relatoria/1995/T-102-95.htm
T-410/16,Cesantías parciales; retiro para educación superior,https://www.corteconstitucional.gov.co/relatoria/2016/t-410-16.htm
SU-098/18,Cesantías; sistemas de liquidación,https://www.corteconstitucional.gov.co/relatoria/2018/SU098-18.htm
T-809/10,Trabajadores oficiales; supresión de empresa industrial y comercial del Estado (Inravisión),https://www.corteconstitucional.gov.co/relatoria/2010/T-809-10.htm
T-881/12,Contrato de aprendizaje; estabilidad reforzada por discapacidad del aprendiz (Magroin),https://www.corteconstitucional.gov.co/relatoria/2012/T-881-12.htm
T-906/07,Contrato de aprendizaje; terminación por embarazo de la aprendiz,
T-174/11,Contrato de aprendizaje; aprendiz embarazada (Comcel),https://www.corteconstitucional.gov.co/relatoria/2011/t-174-11.htm
T-258/24,Contrato de aprendizaje; estabilidad reforzada por discapacidad del aprendiz,https://www.corteconstitucional.gov.co/relatoria/2024/t-258-24.htm
T-425/21,Contrato de aprendizaje; incapacidad superior a 180 días,
T-326/94,Jornada suplementaria/horas extras/trabajo dominical (cooperativa privada),https://www.corteconstitucional.gov.co/relatoria/1994/T-326-94.htm
T-203/00,Jornada excesiva sin descanso; condiciones dignas (empresa privada),https://www.corteconstitucional.gov.co/relatoria/2000/t-203-00.htm
T-673/16,Descanso semanal por motivos religiosos; despido (empleador privado),
T-182/22,"Salarios, primas, horas extras y recargos nocturnos (clínica privada)",https://www.corteconstitucional.gov.co/relatoria/2022/T-182-22.htm
T-076/01,Vacaciones y compensación en dinero; subsidiariedad,https://www.corteconstitucional.gov.co/relatoria/2001/T-076-01.htm
T-489/14,Licencia por grave calamidad doméstica de auxiliar de vuelo de Avianca S.A. (hijo con autismo),https://www.corteconstitucional.gov.co/relatoria/2014/T-489-14.htm
T-113/15,Licencia por calamidad doméstica; reglas comunes,https://www.corteconstitucional.gov.co/relatoria/2015/t-113-15.htm
T-460/18,Licencia por grave calamidad doméstica; reintegro,https://www.corteconstitucional.gov.co/relatoria/2018/t-460-18.htm
T-277/20,Estabilidad reforzada por salud; sustitución patronal (cafetería privada),
T-171/24,Estabilidad reforzada por embarazo en período de prueba y contrato realidad; responsabilidad del empleador Bmbtc S.A. en el pago de la licencia de maternidad por negligencia en la afiliación (reglas SU-075/18),https://www.corteconstitucional.gov.co/relatoria/2024/t-171-24.htm
T-317/20,Acoso laboral y despido dentro de los seis meses siguientes a la queja (art. 11 Ley 1010/06); empleador privado AXIS Security Consulting Services Ltda.,https://www.corteconstitucional.gov.co/relatoria/2020/t-317-20.htm
T-262/25,Acoso laboral en empresa privada y procedencia excepcional de la tutela frente a los mecanismos de la Ley 1010 de 2006,https://www.corteconstitucional.gov.co/relatoria/2025/t-262-25.htm
T-132/25,Contrato realidad y estabilidad laboral reforzada por salud de madre cabeza de familia en esquema de venta directa/multinivel,https://www.corteconstitucional.gov.co/relatoria/2025/t-132-25.htm
T-329/21,Debido proceso disciplinario del empleador privado (Sodexo S.A.S.) previo al despido por causas disciplinarias,https://www.corteconstitucional.gov.co/relatoria/2021/t-329-21.htm
T-306/24,Despido con justa causa por consumo de sustancias psicoactivas (art. 62 y 60.2 CST); debido proceso disciplinario y estabilidad por salud; empleador privado D.I. S.A.,https://www.corteconstitucional.gov.co/relatoria/2024/t-306-24.htm
T-052/20,Estabilidad laboral reforzada por salud; terminación de contrato por obra o labor sin autorización del Ministerio de Trabajo (Servimos Integral SAS),https://www.corteconstitucional.gov.co/relatoria/2020/T-052-20.htm
T-418/22,Estabilidad reforzada por embarazo; eficacia del despido cuando el empleador (Hotel) desconocía el estado de embarazo durante el período de prueba,https://www.corteconstitucional.gov.co/relatoria/2022/t-418-22.htm
T-522/24,Estabilidad reforzada por embarazo; ineficacia de la terminación por mutuo acuerdo sobre derechos ciertos e indiscutibles; enfoque de género (Presenza SAS),https://www.corteconstitucional.gov.co/relatoria/2024/t-522-24.htm
T-166/25,Estabilidad reforzada por embarazo; presunción de despido discriminatorio (art. 239 CST) y valor probatorio de capturas de WhatsApp; empleadores personas naturales,https://www.corteconstitucional.gov.co/relatoria/2025/t-166-25.htm
T-031/21,Discriminación por VIH en proceso de selección laboral y prohibición de pruebas serológicas sin consentimiento; empleador privado Díaz y Restrepo S.A.S. (Sr. Wok),https://www.corteconstitucional.gov.co/relatoria/2021/t-031-21.htm
T-391/21,Despido y libertad religiosa (guarda del Sabbath) frente a la jornada y turnos de trabajo; empleador privado Transportes CI S.A.S.,https://www.corteconstitucional.gov.co/relatoria/2021/T-391-21.htm
T-041/24,Contrato realidad de un médico (prestación de servicios vs. relación laboral); tutela contra providencia judicial; empleador privado Fundación Abood Shaio,https://www.corteconstitucional.gov.co/relatoria/2024/t-041-24.htm
T-310/15,Estabilidad laboral reforzada por salud; renovación de contrato e indemnización del art. 26 Ley 361/97; empleador privado T-VAPAN 500 S.A.,https://www.corteconstitucional.gov.co/relatoria/2015/t-310-15.htm
T-500/19,Estabilidad reforzada de prepensionado y por salud; empleador privado Cooperativa de Transporte Copetran LTDA (caso resuelto de fondo),https://www.corteconstitucional.gov.co/relatoria/2019/t-500-19.htm
T-978/04,"Período de prueba (CST art. 76-80) - terminación durante período de prueba, caso Banco Colpatria",https://www.corteconstitucional.gov.co/relatoria/2004/t-978-04.htm
T-346/25,"Presunción de relación laboral - trabajadora doméstica adulto mayor, carga dinámica de la prueba",https://www.corteconstitucional.gov.co/relatoria/2025/t-346-25.htm
T-620/17,"Presunción de relación laboral (CST art. 24) - portera/vigilancia hotel privado, tutela improcedente por falta de prueba",https://www.corteconstitucional.gov.co/relatoria/2017/t-620-17.htm
T-438/20,"Terminación por mutuo acuerdo firmada durante fuero de maternidad - fuero es derecho cierto e indiscutible, no transable",https://www.corteconstitucional.gov.co/relatoria/2020/T-438-20.htm
