sentencia,razon
T-112/24,"llm_no_pertinente: La sentencia trata sobre el régimen vacacional de empleadas judiciales (función pública), no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-476/93,"llm_no_pertinente: La sentencia versa sobre derecho de petición y silencio administrativo en el trámite de pago de cesantías ante FAVIDI, no sobre la relación laboral individual ni la procedencia de las prestaciones. Lo laboral es solo el contexto del derecho fundamental de petición invocado."
T-682/14,sin_articulos_fundamento_directo
T-137/17,"llm_no_pertinente: La sentencia versa sobre una acción de tutela contra providencias judiciales en un proceso reivindicatorio (disputa de propiedad inmueble por sucesión), no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-729/12,"llm_no_pertinente: La sentencia trata sobre el pago de incapacidades laborales por enfermedad común y el reconocimiento de pensión de invalidez, temas centrales de seguridad social, no de relación laboral individual privada regida por el CST en materia de contratación, jornada o terminación del contrato."
T-382/01,"llm_no_pertinente: La sentencia trata sobre un proceso concordatario (insolvencia/procedimiento concursal) y vía de hecho judicial, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-1232/03,"llm_no_pertinente: La sentencia trata sobre pérdida de investidura de un congresista y procedencia de acción de tutela contra providencias judiciales, temas de derecho público y constitucional, no sobre relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-1517/00,sin_articulos_fundamento_directo
T-203/24,no_pasa_prefiltro_keywords
T-148/17,no_pasa_prefiltro_keywords
T-386/07,no_pasa_prefiltro_keywords
SU-819/99,no_pasa_prefiltro_keywords
SU-349/22,"llm_no_pertinente: La sentencia trata sobre un proceso de exoneración de cuota alimentaria entre excónyuges (derecho de familia), no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo. El tema central es violencia de género, alimentos sanción y perspectiva de género en la administración de justicia familiar."
T-526/25,no_pasa_prefiltro_keywords
T-167/07,"llm_no_pertinente: La sentencia trata sobre habilitación profesional para ejercer como médico radiólogo ante la Secretaría de Salud, que es un tema de regulación profesional y procedimiento administrativo, no una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-496/04,"llm_no_pertinente: La sentencia trata sobre la vulneración del derecho de petición por respuestas ambiguas de la administración distrital. Aunque menciona fuero sindical y despido, el objeto central de la decisión es determinar si se cumplió el derecho de petición, no resolver una controversia laboral individual regida por el Código Sustantivo del Trabajo."
T-309/12,"llm_no_pertinente: La sentencia trata sobre un tema de derecho penal (ejecución de penas, libertad condicional, multas penales y subrogados penales), no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-355/99,sin_articulos_fundamento_directo
T-435/95,"llm_no_pertinente: La controversia versa sobre el régimen salarial aplicable a empleados públicos de la Fiscalía General de la Nación (función pública), no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-691/99,"llm_no_pertinente: La sentencia versa exclusivamente sobre bonos pensionales, reconocimiento de pensión de vejez y seguridad social, materias que están fuera del ámbito del derecho laboral individual privado regido por el CST"
T-912/09,no_pasa_prefiltro_keywords
T-505/24,"llm_no_pertinente: La sentencia trata exclusivamente sobre el derecho a la salud y la obligación de las EPS de proveer servicios de transporte a pacientes, especialmente niños con Trastorno del Espectro Autista (TEA). No aborda ninguna relación laboral individual privada regida por el Código Sustantivo del Trabajo."
T-772/02,no_pasa_prefiltro_keywords
T-547/17,no_pasa_prefiltro_keywords
T-584/93,"llm_no_pertinente: La sentencia versa sobre el derecho de petición (derecho constitucional) respecto a una solicitud de pensión de vejez ante la Caja de Previsión Social, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo; el tema central es procesal-constitucional y de seguridad social, no de derecho laboral individual privado"
T-229/23,sin_texto_o_url_no_resuelve
T-500/10,"llm_no_pertinente: La sentencia trata sobre el reconocimiento de una pensión de vejez en el sistema de seguridad social, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-643/98,no_pasa_prefiltro_keywords
T-1016/06,no_pasa_prefiltro_keywords
T-097/12,no_pasa_prefiltro_keywords
T-602/12,"llm_no_pertinente: La sentencia trata sobre una pensión/indemnización sustitutiva de pensión de vejez de un exempleado público (Ministerio de Transporte y Contraloría General), lo cual corresponde a seguridad social y función pública, no a una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
SU-024/18,"llm_no_pertinente: La sentencia versa sobre una acción de tutela contra providencias judiciales relacionada con pensión de invalidez (seguridad social), no sobre relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-854/08,"llm_no_pertinente: La sentencia trata sobre el derecho a la salud de un soldado que prestaba servicio militar obligatorio y sufrió una lesión en acto de servicio. Es un asunto de derecho administrativo y seguridad social de las Fuerzas Militares, no una relación laboral individual privada regida por el Código Sustantivo del Trabajo."
T-799/10,"llm_no_pertinente: La sentencia trata sobre indemnización sustitutiva de pensión de vejez y sobrevivientes en el marco del Sistema General de Seguridad Social, que es materia de seguridad social y pensiones, no de relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-215/26,"llm_no_pertinente: La sentencia trata sobre educación, deporte (específicamente fútbol), derechos de niños, niñas y adolescentes, y modelos pedagógicos, sin abordar ninguna controversia sobre relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-762/08,"llm_no_pertinente: La sentencia trata sobre el reconocimiento de una pensión de vejez en el sistema de seguridad social, materia que corresponde a seguridad social y no a una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-889/00,no_pasa_prefiltro_keywords
T-401/23,sin_texto_o_url_no_resuelve
T-664/11,"llm_no_pertinente: La sentencia trata sobre el traslado de una docente del servicio público de educación (función pública), regido por el Estatuto de Profesionalización Docente, no sobre una relación laboral individual privada bajo el Código Sustantivo del Trabajo"
T-241/01,"llm_no_pertinente: La sentencia trata sobre bonos pensionales y el reconocimiento de pensión de vejez por parte del ISS, materias propias de seguridad social y pensiones, no de derecho laboral individual privado regido por el Código Sustantivo del Trabajo"
SU-542/16,"llm_no_pertinente: La sentencia versa sobre indexación de la primera mesada pensional y prescripción en materia de seguridad social (pensiones), no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-1149/08,no_pasa_prefiltro_keywords
T-385/18,no_pasa_prefiltro_keywords
SU-479/97,no_pasa_prefiltro_keywords
T-211/08,sin_texto_o_url_no_resuelve
T-346/99,no_pasa_prefiltro_keywords
T-496/18,"llm_no_pertinente: La sentencia trata sobre un proceso de pertenencia (prescripción adquisitiva de dominio) de un predio rural y el cumplimiento de una sentencia judicial relacionada con bienes baldíos, no versa sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-022/16,no_pasa_prefiltro_keywords
T-343/21,"llm_no_pertinente: La sentencia trata sobre un crédito educativo del ICETEX y derechos de petición y educación superior, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-330/96,sin_articulos_fundamento_directo
T-305/97,no_pasa_prefiltro_keywords
T-095/13,"llm_no_pertinente: La sentencia trata sobre el traslado de un servidor público (funcionario del INPEC) regido por normas de función pública (Decreto 407 de 1994, artículo 122 CP), no sobre una relación laboral individual privada regulada por el Código Sustantivo del Trabajo."
T-167/03,sin_articulos_fundamento_directo
T-375/14,no_pasa_prefiltro_keywords
T-1135/04,no_pasa_prefiltro_keywords
T-252/18,"llm_no_pertinente: Aunque la demandante era trabajadora privada y reclama pagos laborales (cesantías, aportes a seguridad social), el asunto central es el pago de incapacidades por la ARL (materia de seguridad social, no relación laboral individual) y la acción es resuelta por cosa juzgada constitucional e improcedencia por subsidiariedad, sin que se analice el fondo de normas laborales del Código Sustantivo del Trabajo"
T-036/22,"llm_no_pertinente: La sentencia trata sobre el reconocimiento de una pensión de vejez en el régimen de seguridad social, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-584/07,"llm_no_pertinente: La sentencia trata sobre el derecho a la salud de una menor y la exigencia de copagos/cuotas moderadoras por parte de una EPS, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-516/25,"llm_no_pertinente: La sentencia versa sobre el derecho a la salud y la obligación de las EPS de cubrir servicios de transporte para pacientes, lo cual es materia de seguridad social y derecho a la salud, no de relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-356/24,"llm_no_pertinente: La sentencia trata sobre una empleada pública en provisionalidad (docente del sector público), sujeta al régimen de función pública y carrera administrativa, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-158/95,"llm_no_pertinente: La sentencia versa sobre seguridad social (prestación de servicios médicos por el ISS) y la obligación de suministrar medicamentos a un afiliado cuyo patrono está en mora, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-050/10,"llm_no_pertinente: La sentencia trata exclusivamente sobre el derecho a la salud de una persona de la tercera edad frente a una EPS por la negativa a suministrar un implante ocular excluido del POS, no versa sobre una relación laboral individual privada"
T-858/11,sin_articulos_fundamento_directo
T-977/03,no_pasa_prefiltro_keywords
T-501/95,no_pasa_prefiltro_keywords
T-696/03,no_pasa_prefiltro_keywords
T-848/07,no_pasa_prefiltro_keywords
T-143/00,no_pasa_prefiltro_keywords
T-366/20,"llm_no_pertinente: La sentencia trata sobre el derecho a la educación desde la perspectiva de accesibilidad material (construcción de infraestructura pública - puentes) para que menores puedan acceder físicamente a planteles educativos, no sobre relaciones laborales individuales privadas regidas por el Código Sustantivo del Trabajo."
T-074/16,"llm_no_pertinente: La sentencia trata sobre el reconocimiento de una pensión de sobrevivientes, que es un tema de seguridad social y derecho pensional, no de relación laboral individual privada regida por el Código Sustantivo del Trabajo."
T-364/18,"llm_no_pertinente: La sentencia trata sobre un proceso disciplinario en una escuela militar, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo. Los accionantes eran estudiantes militares, no trabajadores privados."
T-027/10,no_pasa_prefiltro_keywords
T-972/10,no_pasa_prefiltro_keywords
T-720/00,sin_articulos_fundamento_directo
T-802/99,"llm_no_pertinente: La sentencia trata sobre bonos pensionales y reconocimiento de pensiones (seguridad social), no sobre relaciones laborales individuales privadas regidas por el Código Sustantivo del Trabajo"
T-1008/04,no_pasa_prefiltro_keywords
T-323/93,"llm_no_pertinente: Esta sentencia trata sobre una acción de tutela contra providencias judiciales en un proceso reivindicatorio de bienes inmuebles, no versa sobre relación laboral individual privada alguna."
T-193/22,no_pasa_prefiltro_keywords
T-299/21,no_pasa_prefiltro_keywords
T-128/22,no_pasa_prefiltro_keywords
T-172/95,no_pasa_prefiltro_keywords
T-961/01,"llm_no_pertinente: La sentencia trata exclusivamente sobre el derecho a la salud en el marco del régimen subsidiado de seguridad social (SISBEN), demora en carnetización y cobertura de intervención quirúrgica, no sobre relaciones laborales individuales privadas regidas por el Código Sustantivo del Trabajo"
T-607/13,no_pasa_prefiltro_keywords
T-500/98,"llm_no_pertinente: La sentencia trata sobre el derecho a la educación de menores en un jardín infantil y la participación de padres en la comunidad educativa, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-1023/05,no_pasa_prefiltro_keywords
T-735/09,"llm_no_pertinente: La sentencia trata sobre custodia y cuidado personal de un menor, competencia judicial y nulidad procesal en un asunto de familia, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-226/20,no_pasa_prefiltro_keywords
T-320/99,sin_articulos_fundamento_directo
T-1283/00,"llm_no_pertinente: La sentencia versa sobre el pago de primas complementarias a educadores del sector público (docentes departamentales y nacionalizados), lo cual corresponde a empleo público/función pública, no a relaciones laborales individuales privadas regidas por el CST"
T-242/96,"llm_no_pertinente: La sentencia trata sobre el programa de protección de testigos de la Fiscalía y las restricciones a derechos fundamentales derivadas de esa relación especial de sujeción con el Estado, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-247/10,sin_articulos_fundamento_directo
T-945/06,no_pasa_prefiltro_keywords
T-545/09,"llm_no_pertinente: La sentencia trata sobre un proceso policivo de servidumbre (querella por perturbación al ejercicio de servidumbre), no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo. El tema central es debido proceso administrativo en contexto de autoridades policivas con funciones jurisdiccionales."
T-297/09,"llm_no_pertinente: La sentencia trata sobre el retiro del servicio activo de un oficial de la Policía Nacional, que es una relación de función pública regida por normas especiales (Decreto 1791 de 2000, Ley 857 de 2003), no una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-623/97,sin_articulos_fundamento_directo
T-597/03,"llm_no_pertinente: La sentencia trata sobre el reconocimiento de una pensión de jubilación de un magistrado (funcionario público) frente al Seguro Social, centrándose en problemas de debido proceso administrativo en la notificación de actos administrativos y en la aplicación del régimen pensional de empleados del Estado, no sobre relaciones laborales individuales privadas regidas por el Código Sustantivo del Trabajo."
T-280/05,no_pasa_prefiltro_keywords
T-897/00,"llm_no_pertinente: La sentencia trata sobre empleados públicos (docente y celador del Municipio de Ciénaga) que reclaman salarios adeudados, corresponde a una relación laboral de función pública, no privada regida por el Código Sustantivo del Trabajo"
T-903/01,"llm_no_pertinente: La sentencia versa sobre una disputa contractual entre un contratista persona jurídica (Coneléctricas Ltda.) y una entidad pública (EMCALI E.S.P.) por el pago de obras adicionales, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-1087/12,"llm_no_pertinente: La sentencia versa sobre el derecho a la seguridad social en salud en el régimen especial de las Fuerzas Militares (afiliación, desafiliación, continuidad del servicio) vinculado a una sustitución pensional, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-270/02,"llm_no_pertinente: La sentencia trata sobre el acceso al sistema de salud subsidiado (SISBEN) y la continuidad en la atención médica, que es un tema de seguridad social y derecho a la salud, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-877/04,"llm_no_pertinente: La sentencia trata sobre la vinculación en provisionalidad de una docente del sector público en aplicación de la Ley 715 de 2001, lo cual es materia de función pública y régimen especial docente estatal, no una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-635/97,"llm_no_pertinente: El caso versa sobre seguridad social (mesadas pensionales dejadas de percibir por el causante fallecido y reclamadas por la sustituta pensional), no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-709/10,"llm_no_pertinente: La sentencia trata sobre un proceso disciplinario contra un juez de la República por no aplicar una lista de elegibles para nombrar un secretario, es decir, versa sobre función pública y derecho disciplinario judicial, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo."
T-790/05,"llm_no_pertinente: Aunque involucra a una trabajadora del sector privado, el tema central es el pago de la licencia de maternidad por parte de la EPS (seguridad social), no una controversia sobre la relación laboral individual privada regida por el CST. La disputa es entre la trabajadora y la EPS Famisanar sobre el reconocimiento y pago de una prestación del sistema de seguridad social en salud."
T-643/16,no_pasa_prefiltro_keywords
T-952/10,no_pasa_prefiltro_keywords
T-812/99,no_pasa_prefiltro_keywords
SU-960/99,sin_texto_o_url_no_resuelve
T-574/02,"llm_no_pertinente: La sentencia trata sobre el derecho a la sustitución pensional y seguridad social de una persona con discapacidad, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-084/17,"llm_no_pertinente: La sentencia trata sobre pensión de sobrevivientes y aplicación del principio de favorabilidad en materia de seguridad social pensional, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-953/12,sin_articulos_fundamento_directo
T-345/03,sin_articulos_fundamento_directo
T-587/98,no_pasa_prefiltro_keywords
T-586/15,no_pasa_prefiltro_keywords
T-720/16,no_pasa_prefiltro_keywords
T-509/10,"llm_no_pertinente: La sentencia trata sobre el reconocimiento de pensión de invalidez por parte del sistema de seguridad social (ISS), no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo. El tema central es seguridad social/pensiones."
T-169/13,llm_no_pertinente: La sentencia versa sobre una acción de tutela contra providencias judiciales en un proceso de reparación directa contra entidades públicas (ICFES y Ministerio de Educación) por tasación de perjuicios morales. No trata sobre relación laboral individual privada regida por el Código Sustantivo del Trabajo.
T-021/05,"llm_no_pertinente: La sentencia trata sobre un contrato de concesión de servicio público de aseo, áreas de servicio exclusivo, licitación pública y competencia económica entre empresas prestadoras de servicios públicos, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo."
T-148/93,no_pasa_prefiltro_keywords
T-157/19,"llm_no_pertinente: La sentencia trata exclusivamente sobre el reconocimiento de pensiones de invalidez en el sistema de seguridad social, que es materia de seguridad social y no de derecho laboral individual privado regido por el Código Sustantivo del Trabajo"
T-338/12,"llm_no_pertinente: La sentencia trata exclusivamente sobre derechos de seguridad social en pensiones (indemnización sustitutiva y devolución de saldos), no sobre relaciones laborales individuales privadas regidas por el Código Sustantivo del Trabajo"
T-072/11,"llm_no_pertinente: La sentencia trata sobre un crédito hipotecario UPAC/UVR y su redenominación, proceso ejecutivo y remate de vivienda. No versa sobre una relación laboral individual privada sino sobre derecho financiero y contractual crediticio."
T-1100/01,no_pasa_prefiltro_keywords
T-398/25,sin_articulos_fundamento_directo
T-286A/12,sin_texto_o_url_no_resuelve
T-288/06,"llm_no_pertinente: La sentencia trata sobre el régimen prestacional pensional de miembros de la Policía Nacional (sustitución pensional), que corresponde a seguridad social y no a una relación laboral individual privada regida por el Código Sustantivo del Trabajo."
T-046/93,no_pasa_prefiltro_keywords
T-1010/04,"llm_no_pertinente: La sentencia trata sobre el reconocimiento y pago de licencia de maternidad por parte de entidades de seguridad social (EPS), lo cual es un tema de seguridad social y no de relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-806/11,"llm_no_pertinente: La sentencia trata exclusivamente sobre pensión de sobrevivientes (sustitución pensional) en el régimen especial del Ministerio de Defensa y Policía Nacional, que es materia de seguridad social y no de relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-216/00,sin_articulos_fundamento_directo
T-477/93,"llm_no_pertinente: La sentencia versa sobre el derecho de petición y sustitución pensional, no sobre una relación laboral individual privada. Trata de seguridad social (pensiones) y procedimientos administrativos ante una Caja de Previsión Social, temas excluidos del alcance definido."
T-625/97,"llm_no_pertinente: La sentencia trata sobre un proceso disciplinario contra un juez por supuestas irregularidades en el trámite de un proceso de pertenencia, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-107/25,no_pasa_prefiltro_keywords
T-388/95,no_pasa_prefiltro_keywords
T-310/23,"llm_no_pertinente: La sentencia trata sobre una acción de tutela contra providencias judiciales por un presunto defecto procedimental (exceso ritual manifiesto) en un proceso declarativo verbal de naturaleza civil-comercial entre empresas, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-262/10,no_pasa_prefiltro_keywords
T-208/11,"llm_no_pertinente: El caso versa sobre un servidor público (Corregidor de Policía) nombrado mediante decreto, constituyendo una relación reglamentaria de función pública, no una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-186/07,"llm_no_pertinente: Esta sentencia trata sobre un proceso ejecutivo hipotecario de crédito de vivienda UPAC/UVR y la aplicación de la Ley 546 de 1999, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo."
T-882/00,no_pasa_prefiltro_keywords
T-012/12,no_pasa_prefiltro_keywords
T-481/25,"llm_no_pertinente: La sentencia trata sobre una acción de tutela contra una providencia judicial en un proceso de infracción a derechos de propiedad industrial (patentes), no sobre relaciones laborales individuales privadas regidas por el Código Sustantivo del Trabajo."
T-246/97,no_pasa_prefiltro_keywords
T-126/15,no_pasa_prefiltro_keywords
T-659/05,no_pasa_prefiltro_keywords
T-143/03,"llm_no_pertinente: La sentencia trata sobre una acción de tutela contra una sanción disciplinaria impuesta a una funcionaria pública (Gerente del ISS) por actos realizados en ejercicio de un cargo público, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
SU-056/95,no_pasa_prefiltro_keywords
T-100/12,no_pasa_prefiltro_keywords
T-1074/01,"llm_no_pertinente: La sentencia trata sobre el derecho de petición para solicitar cesantías parciales del magisterio (régimen de empleo público docente) y nulidades procesales por indebida integración del contradictorio, no sobre relaciones laborales individuales privadas regidas por el CST"
T-328/22,"llm_no_pertinente: Se trata de una relación de empleo público militar regida por normas especiales de las Fuerzas Militares, no por el Código Sustantivo del Trabajo que regula las relaciones laborales individuales privadas"
T-532/07,"llm_no_pertinente: La sentencia trata sobre el pago de incapacidades laborales por parte de una EPS a una trabajadora independiente (cotizante independiente), lo cual es materia de seguridad social y no de relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-451/07,"llm_no_pertinente: La sentencia trata sobre una empleada pública de carrera administrativa declarada insubsistente, cuya relación se rige por el régimen de función pública (Decretos 3135/68 y 1848/69, Ley 909/04), no por el Código Sustantivo del Trabajo que rige las relaciones laborales privadas"
T-080/05,sin_articulos_fundamento_directo
T-954/06,"llm_no_pertinente: La sentencia trata sobre el régimen disciplinario y de rehabilitación de auxiliares de la justicia (secuestre), no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-297/04,no_pasa_prefiltro_keywords
T-550/98,no_pasa_prefiltro_keywords
T-022/97,no_pasa_prefiltro_keywords
T-374/12,"llm_no_pertinente: La sentencia trata sobre indexación de mesadas pensionales y seguridad social, no sobre relaciones laborales individuales privadas regidas por el Código Sustantivo del Trabajo"
T-520/05,"llm_no_pertinente: La sentencia trata sobre el derecho fundamental a la salud de una persona vinculada al sistema de seguridad social en salud que requiere exámenes y medicamentos, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-113/94,no_pasa_prefiltro_keywords
T-389/25,no_pasa_prefiltro_keywords
T-653/00,"llm_no_pertinente: La sentencia trata sobre el pago de mesadas pensionales a jubilados, lo cual es un tema de seguridad social y no de relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-466/00,sin_articulos_fundamento_directo
T-300/09,no_pasa_prefiltro_keywords
T-690/98,"llm_no_pertinente: La sentencia trata principalmente sobre derechos colectivos laborales (pacto colectivo vs. convención colectiva, libertad de asociación sindical y discriminación contra trabajadores sindicalizados), no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-414/04,sin_texto_o_url_no_resuelve
SU-613/02,no_pasa_prefiltro_keywords
T-632/09,no_pasa_prefiltro_keywords
T-695/07,"llm_no_pertinente: La sentencia trata exclusivamente sobre el derecho fundamental a la salud de un menor con discapacidad (autismo) frente a una EPS en el marco de la seguridad social, no sobre una relación laboral individual privada"
T-229/19,"llm_no_pertinente: La sentencia trata sobre el derecho fundamental a la vivienda digna, debido proceso administrativo en la demolición de una vivienda por parte de una alcaldía, y vulneración al buen nombre y honra. No versa sobre relaciones laborales individuales privadas regidas por el Código Sustantivo del Trabajo."
T-425/09,"llm_no_pertinente: La sentencia trata sobre acciones de tutela contra providencias judiciales en materia de indexación de la primera mesada pensional, lo cual es un tema de seguridad social y pensiones, no de relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-062/09,"llm_no_pertinente: La sentencia trata sobre el reconocimiento de pensión de invalidez, que es un tema de seguridad social, no de relaciones laborales individuales regidas por el Código Sustantivo del Trabajo. Aunque la actora era trabajadora, el objeto central de la decisión es la calificación de invalidez y el derecho pensional, no aspectos de su relación laboral con el empleador."
SU-036/18,"llm_no_pertinente: La sentencia versa sobre un proceso penal por alzamiento de bienes y la cancelación de registros de propiedad, afectando derechos de terceros de buena fe. Aunque el origen es un proceso laboral, el objeto central de esta decisión constitucional es la procedencia de la tutela contra providencias judiciales penales por defectos procedimentales (no vincular a terceros) y sustantivos, no sobre la relación laboral individual misma."
T-1051/10,"llm_no_pertinente: La sentencia trata exclusivamente sobre el derecho fundamental a la salud y la obligación de una EPS de suministrar medicamentos no incluidos en el POS, sin ninguna relación con una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-1295/00,"llm_no_pertinente: La sentencia se centra en la temeridad de la acción de tutela (múltiples tutelas por los mismos hechos) y además la accionante es empleada pública desde 1999, no trabajadora del sector privado regida por el Código Sustantivo del Trabajo"
T-805/98,no_pasa_prefiltro_keywords
T-313/16,"llm_no_pertinente: La sentencia trata sobre derecho de petición y consulta previa a comunidades indígenas en el marco de un proyecto de infraestructura (oleoducto), no sobre relaciones laborales individuales privadas regidas por el Código Sustantivo del Trabajo"
T-986/01,"llm_no_pertinente: El caso trata sobre docentes del sector público (municipio de Zona Bananera) que reclaman salarios adeudados, por lo que se rige por el régimen de función pública y no por el Código Sustantivo del Trabajo aplicable a relaciones laborales individuales privadas."
T-414/98,"llm_no_pertinente: La sentencia versa sobre el reconocimiento de pensión de invalidez y prestaciones de seguridad social del ISS, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-139/16,no_pasa_prefiltro_keywords
T-043/18,sin_articulos_fundamento_directo
T-562/19,no_pasa_prefiltro_keywords
T-553/11,no_pasa_prefiltro_keywords
T-254/94,"llm_no_pertinente: La sentencia trata sobre la expulsión de un miembro de una comunidad indígena por decisión del cabildo indígena, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo. El tema central es la jurisdicción indígena, autonomía de las comunidades indígenas y límites constitucionales a sus decisiones."
T-1180/05,no_pasa_prefiltro_keywords
T-249/03,"llm_no_pertinente: La sentencia trata sobre el derecho procesal penal de constituirse como parte civil en un proceso penal por delitos de lesa humanidad, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-055/17,no_pasa_prefiltro_keywords
